"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
historic_center_2_927,0.6820000,0.6890000000000001,-1,5,18,720.00,520.0,206.000,233.0,270.000,223.0,200.0,27.77777777777778,27.0,13.106796116504855,47.0,17.40740740740741,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_928,0.6820000,0.664,-1,12,11,720.00,746.0,206.000,223.0,270.000,218.0,26.0,3.611111111111111,17.0,8.25242718446602,52.0,19.25925925925926,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_929,0.6820000,0.722,-1,11,10,720.00,679.0,206.000,215.0,270.000,292.0,41.0,5.694444444444445,9.0,4.368932038834951,22.0,8.148148148148149,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_930,0.6820000,0.5569999999999999,-1,16,9,720.00,769.0,206.000,185.0,270.000,187.0,49.0,6.805555555555555,21.0,10.194174757281553,83.0,30.74074074074074,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_931,0.6820000,0.751,-1,11,11,720.00,733.0,206.000,228.0,270.000,295.0,13.0,1.8055555555555556,22.0,10.679611650485437,25.0,9.25925925925926,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_932,0.6820000,0.644,-1,17,10,720.00,757.0,206.000,216.0,270.000,212.0,37.0,5.138888888888889,10.0,4.854368932038835,58.0,21.48148148148148,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_933,0.6820000,0.617,-1,11,14,720.00,734.0,206.000,178.0,270.000,261.0,14.0,1.9444444444444444,28.0,13.592233009708737,9.0,3.3333333333333335,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_934,0.6820000,0.683,-1,13,16,720.00,749.0,206.000,216.0,270.000,251.0,29.0,4.027777777777778,10.0,4.854368932038835,19.0,7.037037037037037,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_935,0.6820000,0.643,-1,11,11,720.00,735.0,206.000,209.0,270.000,225.0,15.0,2.0833333333333335,3.0,1.4563106796116505,45.0,16.666666666666668,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_936,0.6820000,0.632,-1,16,9,720.00,751.0,206.000,204.0,270.000,224.0,31.0,4.305555555555555,2.0,0.970873786407767,46.0,17.037037037037038,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_937,0.6820000,0.607,-1,10,17,720.00,752.0,206.000,192.0,270.000,223.0,32.0,4.444444444444445,14.0,6.796116504854369,47.0,17.40740740740741,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_938,0.6820000,0.585,-1,9,17,720.00,736.0,206.000,186.0,270.000,213.0,16.0,2.2222222222222223,20.0,9.70873786407767,57.0,21.11111111111111,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_939,0.6820000,0.633,-1,11,16,720.00,733.0,206.000,217.0,270.000,199.0,13.0,1.8055555555555556,11.0,5.339805825242719,71.0,26.296296296296298,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_940,0.6820000,0.543,-1,11,14,720.00,736.0,206.000,163.0,270.000,217.0,16.0,2.2222222222222223,43.0,20.87378640776699,53.0,19.62962962962963,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_941,0.6820000,0.628,-1,14,8,720.00,745.0,206.000,224.0,270.000,180.0,25.0,3.4722222222222223,18.0,8.737864077669903,90.0,33.333333333333336,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_942,0.6820000,0.63,-1,13,15,720.00,737.0,206.000,205.0,270.000,220.0,17.0,2.361111111111111,1.0,0.4854368932038835,50.0,18.51851851851852,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_943,0.6820000,0.592,-1,7,12,720.00,777.0,206.000,192.0,270.000,208.0,57.0,7.916666666666667,14.0,6.796116504854369,62.0,22.962962962962962,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_944,0.6820000,0.617,-1,13,14,720.00,759.0,206.000,202.0,270.000,213.0,39.0,5.416666666666667,4.0,1.941747572815534,57.0,21.11111111111111,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_945,0.6820000,0.57,-1,10,11,720.00,755.0,206.000,176.0,270.000,218.0,35.0,4.861111111111111,30.0,14.563106796116505,52.0,19.25925925925926,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_946,0.6820000,0.768,-1,8,10,720.00,722.0,206.000,240.0,270.000,288.0,2.0,0.2777777777777778,34.0,16.50485436893204,18.0,6.666666666666667,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_947,0.6820000,0.7010000000000001,-1,15,14,720.00,738.0,206.000,228.0,270.000,245.0,18.0,2.5,22.0,10.679611650485437,25.0,9.25925925925926,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_948,0.6820000,0.657,-1,11,11,720.00,746.0,206.000,217.0,270.000,223.0,26.0,3.611111111111111,11.0,5.339805825242719,47.0,17.40740740740741,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_949,0.6820000,0.5880000000000001,-1,8,13,720.00,661.0,206.000,232.0,270.000,124.0,59.0,8.194444444444445,26.0,12.62135922330097,146.0,54.074074074074076,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_950,0.6820000,0.624,-1,9,10,720.00,744.0,206.000,207.0,270.000,210.0,24.0,3.3333333333333335,1.0,0.4854368932038835,60.0,22.22222222222222,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
historic_center_2_951,0.6820000,0.564,-1,13,16,720.00,716.0,206.000,178.0,270.000,208.0,4.0,0.5555555555555556,28.0,13.592233009708737,62.0,22.962962962962962,32.2,47.16808848605773,18.771428571428572,21.772197211778405,48.74285714285714,55.59753334713434
