"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_day_1_857,1.0700000,0.477,-1,7,50,1510.00,294.0,156.000,114.0,758.000,249.0,1216.0,80.52980132450331,42.0,26.923076923076923,509.0,67.15039577836411,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_858,1.0700000,0.472,-1,13,99,1510.00,253.0,156.000,109.0,758.000,254.0,1257.0,83.24503311258277,47.0,30.128205128205128,504.0,66.49076517150395,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_859,1.0700000,0.544,-1,6,88,1510.00,281.0,156.000,138.0,758.000,268.0,1229.0,81.3907284768212,18.0,11.538461538461538,490.0,64.64379947229551,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_860,1.0700000,0.525,-1,12,84,1510.00,315.0,156.000,171.0,758.000,183.0,1195.0,79.13907284768212,15.0,9.615384615384615,575.0,75.85751978891821,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_861,1.0700000,0.438,-1,12,89,1510.00,511.0,156.000,124.0,758.000,190.0,999.0,66.15894039735099,32.0,20.512820512820515,568.0,74.93403693931398,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_862,1.0700000,0.508,-1,12,111,1510.00,505.0,156.000,123.0,758.000,262.0,1005.0,66.55629139072848,33.0,21.153846153846153,496.0,65.4353562005277,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
