"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_day_2_843,1.0690000,0.751,-1,9,139,1430.00,1337.0,165.000,209.0,739.000,333.0,93.0,6.503496503496503,44.0,26.666666666666668,406.0,54.93910690121786,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_844,1.0690000,0.832,-1,7,153,1430.00,257.0,165.000,181.0,739.000,470.0,1173.0,82.02797202797203,16.0,9.696969696969697,269.0,36.40054127198918,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_845,1.0690000,0.542,-1,5,121,1430.00,635.0,165.000,178.0,739.000,186.0,795.0,55.59440559440559,13.0,7.878787878787879,553.0,74.83085250338296,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_846,1.0690000,0.655,-1,5,121,1430.00,247.0,165.000,179.0,739.000,297.0,1183.0,82.72727272727273,14.0,8.484848484848484,442.0,59.810554803788904,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_847,1.0690000,0.524,-1,8,185,1430.00,317.0,165.000,152.0,739.000,220.0,1113.0,77.83216783216783,13.0,7.878787878787879,519.0,70.23004059539919,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_848,1.0690000,0.602,-1,10,155,1430.00,1067.0,165.000,184.0,739.000,234.0,363.0,25.384615384615383,19.0,11.515151515151516,505.0,68.33558863328822,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_849,1.0690000,0.609,-1,8,165,1430.00,400.0,165.000,209.0,739.000,191.0,1030.0,72.02797202797203,44.0,26.666666666666668,548.0,74.15426251691476,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_850,1.0690000,0.698,-1,8,165,1430.00,1103.0,165.000,231.0,739.000,236.0,327.0,22.867132867132867,66.0,40.0,503.0,68.06495263870094,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_851,1.0690000,0.5640000000000001,-1,9,124,1430.00,97.0,165.000,184.0,739.000,196.0,1333.0,93.21678321678321,19.0,11.515151515151516,543.0,73.47767253044655,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_852,1.0690000,0.612,-1,11,135,1430.00,1007.0,165.000,184.0,739.000,244.0,423.0,29.58041958041958,19.0,11.515151515151516,495.0,66.98240866035182,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_853,1.0690000,0.616,-1,10,131,1430.00,197.0,165.000,211.0,739.000,194.0,1233.0,86.22377622377623,46.0,27.87878787878788,545.0,73.74830852503383,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_854,1.0690000,0.66,-1,10,131,1430.00,392.0,165.000,196.0,739.000,268.0,1038.0,72.58741258741259,31.0,18.78787878787879,471.0,63.734776725304464,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_855,1.0690000,0.5640000000000001,-1,8,143,1430.00,264.0,165.000,181.0,739.000,202.0,1166.0,81.53846153846153,16.0,9.696969696969697,537.0,72.66576454668471,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_856,1.0690000,0.8049999999999999,-1,6,38,1430.00,705.0,165.000,235.0,739.000,335.0,725.0,50.6993006993007,70.0,42.42424242424242,404.0,54.66847090663058,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
