"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_from_above_day_2_767,1.0690000,0.649,-1,1,77,1430.00,536.0,165.000,225.0,739.000,199.0,894.0,62.51748251748252,60.0,36.36363636363637,540.0,73.07171853856563,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_768,1.0690000,0.623,-1,1,88,1430.00,601.0,165.000,200.0,739.000,223.0,829.0,57.97202797202797,35.0,21.21212121212121,516.0,69.82408660351827,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_769,1.0690000,0.721,-1,0,90,1430.00,1038.0,165.000,214.0,739.000,293.0,392.0,27.412587412587413,49.0,29.696969696969695,446.0,60.351826792963465,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_770,1.0690000,0.662,-1,2,123,1430.00,526.0,165.000,222.0,739.000,218.0,904.0,63.21678321678322,57.0,34.54545454545455,521.0,70.50067658998647,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_771,1.0690000,0.629,-1,2,123,1430.00,312.0,165.000,187.0,739.000,255.0,1118.0,78.18181818181819,22.0,13.333333333333334,484.0,65.49391069012178,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_772,1.0690000,0.9039999999999999,-1,2,123,1430.00,476.0,165.000,206.0,739.000,492.0,954.0,66.7132867132867,41.0,24.848484848484848,247.0,33.42354533152909,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_773,1.0690000,0.757,-1,0,126,1430.00,392.0,165.000,170.0,739.000,417.0,1038.0,72.58741258741259,5.0,3.0303030303030303,322.0,43.572395128552095,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_774,1.0690000,0.895,-1,5,125,1430.00,295.0,165.000,227.0,739.000,441.0,1135.0,79.37062937062937,62.0,37.57575757575758,298.0,40.32476319350474,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_775,1.0690000,0.825,-1,5,125,1430.00,543.0,165.000,234.0,739.000,357.0,887.0,62.02797202797203,69.0,41.81818181818182,382.0,51.6914749661705,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
vesuvio_outdoor_from_above_day_2_776,1.0690000,0.62,-1,5,125,1430.00,387.0,165.000,190.0,739.000,240.0,1043.0,72.93706293706293,25.0,15.151515151515152,499.0,67.52368064952638,893.4761904761905,927.5784397584723,40.285714285714285,43.61847577084083,406.26190476190476,419.54961679446325
