"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_1_515,1.0700000,0.823,-1,16,139,1510.00,213.0,156.000,191.0,758.000,441.0,1297.0,85.89403973509934,35.0,22.435897435897434,317.0,41.82058047493404,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_516,1.0700000,0.643,-1,16,139,1510.00,346.0,156.000,171.0,758.000,301.0,1164.0,77.08609271523179,15.0,9.615384615384615,457.0,60.29023746701847,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_517,1.0700000,0.5549999999999999,-1,15,151,1510.00,114.0,156.000,135.0,758.000,285.0,1396.0,92.45033112582782,21.0,13.461538461538462,473.0,62.401055408970976,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_518,1.0700000,0.516,-1,15,151,1510.00,233.0,156.000,114.0,758.000,288.0,1277.0,84.56953642384106,42.0,26.923076923076923,470.0,62.00527704485488,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_519,1.0700000,0.477,-1,15,151,1510.00,322.0,156.000,134.0,758.000,209.0,1188.0,78.67549668874172,22.0,14.102564102564102,549.0,72.42744063324538,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_520,1.0700000,0.499,-1,15,151,1510.00,327.0,156.000,125.0,758.000,249.0,1183.0,78.34437086092716,31.0,19.871794871794872,509.0,67.15039577836411,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_521,1.0700000,0.627,-1,12,127,1510.00,139.0,156.000,184.0,758.000,259.0,1371.0,90.79470198675497,28.0,17.94871794871795,499.0,65.8311345646438,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_522,1.0700000,0.454,-1,24,133,1510.00,364.0,156.000,129.0,758.000,196.0,1146.0,75.89403973509934,27.0,17.307692307692307,562.0,74.14248021108179,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_523,1.0700000,0.762,-1,24,133,1510.00,146.0,156.000,208.0,758.000,346.0,1364.0,90.33112582781457,52.0,33.333333333333336,412.0,54.35356200527705,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_524,1.0700000,0.443,-1,24,133,1510.00,359.0,156.000,101.0,758.000,241.0,1151.0,76.2251655629139,55.0,35.256410256410255,517.0,68.20580474934037,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_525,1.0700000,0.494,-1,10,124,1510.00,150.0,156.000,129.0,758.000,236.0,1360.0,90.06622516556291,27.0,17.307692307692307,522.0,68.86543535620052,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_526,1.0700000,0.497,-1,22,138,1510.00,214.0,156.000,119.0,758.000,259.0,1296.0,85.82781456953643,37.0,23.71794871794872,499.0,65.8311345646438,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_527,1.0700000,0.641,-1,15,142,1510.00,630.0,156.000,162.0,758.000,317.0,880.0,58.27814569536424,6.0,3.8461538461538463,441.0,58.17941952506596,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_528,1.0700000,0.573,-1,17,140,1510.00,285.0,156.000,122.0,758.000,329.0,1225.0,81.12582781456953,34.0,21.794871794871796,429.0,56.596306068601585,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_529,1.0700000,0.436,-1,21,168,1510.00,240.0,156.000,123.0,758.000,190.0,1270.0,84.10596026490066,33.0,21.153846153846153,568.0,74.93403693931398,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_530,1.0700000,0.493,-1,21,168,1510.00,252.0,156.000,123.0,758.000,247.0,1258.0,83.3112582781457,33.0,21.153846153846153,511.0,67.41424802110818,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_531,1.0700000,0.666,-1,20,145,1510.00,650.0,156.000,132.0,758.000,402.0,860.0,56.95364238410596,24.0,15.384615384615385,356.0,46.96569920844327,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_532,1.0700000,0.896,-1,20,145,1510.00,137.0,156.000,223.0,758.000,450.0,1373.0,90.9271523178808,67.0,42.94871794871795,308.0,40.63324538258575,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_1_533,1.0700000,0.649,-1,20,145,1510.00,270.0,156.000,134.0,758.000,381.0,1240.0,82.11920529801324,22.0,14.102564102564102,377.0,49.736147757255935,1195.28125,1205.507219493106,32.75,35.967867604293694,463.1875,469.178470840255
vesuvio_outdoor_3_534,1.0560000,0.627,-1,8,173,1500.00,432.0,170.000,214.0,716.000,199.0,1068.0,71.2,44.0,25.88235294117647,517.0,72.20670391061452,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_535,1.0560000,0.625,-1,8,173,1500.00,405.0,170.000,211.0,716.000,203.0,1095.0,73.0,41.0,24.11764705882353,513.0,71.64804469273743,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_536,1.0560000,0.7010000000000001,-1,8,173,1500.00,375.0,170.000,211.0,716.000,279.0,1125.0,75.0,41.0,24.11764705882353,437.0,61.03351955307262,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_537,1.0560000,0.895,-1,12,150,1500.00,1890.0,170.000,200.0,716.000,495.0,390.0,26.0,30.0,17.647058823529413,221.0,30.865921787709496,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_538,1.0560000,0.722,-1,12,195,1500.00,614.0,170.000,221.0,716.000,280.0,886.0,59.06666666666667,51.0,30.0,436.0,60.89385474860335,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_539,1.0560000,0.8160000000000001,-1,10,204,1500.00,209.0,170.000,229.0,716.000,358.0,1291.0,86.06666666666666,59.0,34.705882352941174,358.0,50.0,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_540,1.0560000,0.605,-1,10,204,1500.00,503.0,170.000,212.0,716.000,181.0,997.0,66.46666666666667,42.0,24.705882352941178,535.0,74.72067039106145,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_541,1.0560000,0.6699999999999999,-1,16,229,1500.00,554.0,170.000,214.0,716.000,242.0,946.0,63.06666666666667,44.0,25.88235294117647,474.0,66.20111731843575,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_542,1.0560000,0.665,-1,16,229,1500.00,341.0,170.000,167.0,716.000,331.0,1159.0,77.26666666666667,3.0,1.7647058823529411,385.0,53.770949720670394,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_543,1.0560000,0.622,-1,16,229,1500.00,435.0,170.000,212.0,716.000,198.0,1065.0,71.0,42.0,24.705882352941178,518.0,72.3463687150838,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_544,1.0560000,0.657,-1,16,229,1500.00,723.0,170.000,227.0,716.000,203.0,777.0,51.8,57.0,33.529411764705884,513.0,71.64804469273743,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_3_545,1.0560000,0.543,-1,16,229,1500.00,629.0,170.000,160.0,716.000,223.0,871.0,58.06666666666667,10.0,5.882352941176471,493.0,68.85474860335195,972.5,997.407138534711,38.666666666666664,41.934472692523514,450.0,458.45719538469456
vesuvio_outdoor_from_above_1_591,1.0700000,0.511,-1,10,107,1510.00,111.0,156.000,149.0,758.000,213.0,1399.0,92.64900662251655,7.0,4.487179487179487,545.0,71.89973614775725,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_592,1.0700000,0.878,-1,10,107,1510.00,142.0,156.000,218.0,758.000,442.0,1368.0,90.59602649006622,62.0,39.743589743589745,316.0,41.68865435356201,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_593,1.0700000,0.618,-1,10,107,1510.00,185.0,156.000,200.0,758.000,218.0,1325.0,87.74834437086092,44.0,28.205128205128204,540.0,71.2401055408971,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_594,1.0700000,0.726,-1,10,119,1510.00,400.0,156.000,210.0,758.000,306.0,1110.0,73.50993377483444,54.0,34.61538461538461,452.0,59.63060686015831,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_595,1.0700000,0.585,-1,7,99,1510.00,315.0,156.000,136.0,758.000,313.0,1195.0,79.13907284768212,20.0,12.820512820512821,445.0,58.70712401055409,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_596,1.0700000,0.67,-1,11,88,1510.00,669.0,156.000,196.0,758.000,278.0,841.0,55.6953642384106,40.0,25.641025641025642,480.0,63.324538258575195,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_597,1.0700000,0.8580000000000001,-1,5,111,1510.00,186.0,156.000,203.0,758.000,452.0,1324.0,87.68211920529801,47.0,30.128205128205128,306.0,40.36939313984169,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_598,1.0700000,0.786,-1,10,97,1510.00,279.0,156.000,176.0,758.000,434.0,1231.0,81.52317880794702,20.0,12.820512820512821,324.0,42.74406332453826,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_599,1.0700000,0.768,-1,11,92,1510.00,209.0,156.000,176.0,758.000,416.0,1301.0,86.15894039735099,20.0,12.820512820512821,342.0,45.11873350923483,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_600,1.0700000,0.813,-1,6,95,1510.00,220.0,156.000,178.0,758.000,457.0,1290.0,85.43046357615894,22.0,14.102564102564102,301.0,39.70976253298153,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_601,1.0700000,0.504,-1,6,89,1510.00,470.0,156.000,124.0,758.000,256.0,1040.0,68.87417218543047,32.0,20.512820512820515,502.0,66.2269129287599,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_602,1.0700000,0.878,-1,6,98,1510.00,270.0,156.000,205.0,758.000,468.0,1240.0,82.11920529801324,49.0,31.41025641025641,290.0,38.25857519788918,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_603,1.0700000,0.431,-1,6,98,1510.00,271.0,156.000,118.0,758.000,195.0,1239.0,82.05298013245033,38.0,24.358974358974358,563.0,74.27440633245382,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_604,1.0700000,0.641,-1,7,99,1510.00,530.0,156.000,155.0,758.000,331.0,980.0,64.90066225165563,1.0,0.6410256410256411,427.0,56.33245382585752,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
